    PID    PPID COMMAND           RSS
  21523   21522 nvim            1719812
  21525   21523 node            1081244
  23877   23871 nvim            798336
   2625    2410 gnome-shell     772924
  94475    2410 chrome          667836
  22785   22783 node            579540
 984378   94501 chrome          506836
 626495   94501 chrome          486116
  91450   91342 slack           481728
2316851       1 dockerd         475516
1020973 1020429 joplin          417028
4062516    2410 nautilus        387356
  97568   94501 chrome          384800
  95713   94501 chrome          371708
  96110   94501 chrome          371260
  94574   94498 chrome          363144
  98067   94501 chrome          352192
  95491   94501 chrome          316392
  94641   94501 chrome          315448
1020429    2625 joplin          293260
    735       1 systemd-journal 230224
  91333    2625 slack           224816
1021183 1020429 joplin          206328
2193618   94501 chrome          200612
   3200    2625 mutter-x11-fram 195548
1021184 1020429 joplin          193908
  91401   91339 slack           191040
  95100   94501 chrome          185868
  94580   94475 chrome          169708
 833195   94501 chrome          161008
  94787   94501 chrome          158364
 587951    2410 evince          151468
  23925   23877 node            147720
  94994   94501 chrome          144928
2196085   94501 chrome          140764
   2723    2625 Xwayland        139992
2201554   94501 chrome          131284
 370003       1 tailscaled      122348
1020933 1020429 joplin          119740
1020895 1020735 joplin          116020
  22783   22782 nvim            105440
1021253 1020736 joplin          103820
1020735 1020429 joplin          102600
1020736 1020429 joplin          102236
1879287    2625 guake           100384
   2532    2410 gnome-remote-de 98232
  95214   94475 chrome          85060
   2793    2552 evolution-alarm 83464
   3158    2410 gsd-xsettings   83044
  91406   91333 slack           80904
2278491 2278483 python          80232
   2699    2410 evolution-sourc 78672
2314815   94501 chrome          75200
  24258   24247 codex           68084
   1367       1 containerd      67192
  91709   91333 slack           65316
  94499   94475 chrome          65024
  94498   94475 chrome          65000
  94593   94501 chrome          63836
   3024    2410 evolution-calen 52788
   3138    2410 localsearch-3   52652
  91340   91333 slack           51916
  91339   91333 slack           51692
   1204       1 snapd           48516
 138999       1 fwupd           48004
   3270    2410 xdg-desktop-por 47236
1817802   26850 node            46324
 981169   15630 node            46196
  24247   14096 node            46188
   2990    2410 goa-daemon      43344
1817813 1817802 codex           39964
  25026    2410 tmux: server    39140
 112221    2410 python3         36644
   2865    2728 ibus-extension- 34852
 981180  981169 codex           34352
   3079    2410 evolution-addre 30168
   4818    2410 tmux: server    29376
   2704    2410 gjs             29308
   3348    2410 xdg-desktop-por 29120
   2446    2410 pipewire-pulse  29060
   2920    2410 gjs             28628
   2744    2410 gsd-media-keys  28156
   2747    2410 gsd-power       28140
1020821    2410 snap            28060
  20328   20215 nvim            26804
   2782    2410 gsd-wacom       24888
   2730    2410 gsd-color       24276
   2739    2410 gsd-keyboard    23808
   2687    2410 gnome-shell-cal 23160
   2440    2410 pipewire        22744
   1229       1 NetworkManager  21156
   2445    2410 wireplumber     20752
   3247    2410 xdg-desktop-por 20320
  94501   94499 chrome          19736
   2875       1 udisksd         17612
      1       0 systemd         16272
   2410       1 systemd         16016
   2552    2410 gnome-session-b 15496
   2485    2481 gnome-session-b 14468
   2888    2410 gsd-printer     14432
   1631       1 colord          14220
  91342   91340 slack           13036
   2764    2410 gsd-smartcard   12788
   3218    2410 ibus-x11        12348
   1272       1 ModemManager    12316
   2324    1391 gdm-session-wor 12216
   2756    2410 gsd-sharing     11728
   1315       1 wpa_supplicant  11588
    774       1 systemd-udevd   11244
   2993    2410 gvfs-udisks2-vo 11128
   1684       1 upowerd         10848
   2749    2410 gsd-print-notif 10780
   1201       1 polkitd         10676
   2728    2410 ibus-daemon     10520
   3175    2544 gvfsd-recent    10272
  60586   23877 tmux: client    10220
  26401   21523 tmux: client    10204
2086775 1879308 tmux: client    10096
2511318   22783 tmux: client    10096
  26604   25026 zsh              9976
   2443    2410 gnome-keyring-d  9788
   2731    2410 gsd-datetime     9548
   1206       1 systemd-logind   9464
  50421   48164 ssh              9412
  49179   47277 ssh              9304
   4756    2410 ssh              9164
  49857   47863 ssh              9136
   2736    2410 gsd-housekeepin  9072
   2773    2410 gsd-sound        8700
   3001    2410 goa-identity-se  8688
   3176    2544 gvfsd-trash      8672
  27855   25026 zsh              8612
 112199    2544 gvfsd-network    8412
  21522   12951 nvim             8408
  53678   25026 zsh              8400
 112209    2544 gvfsd-dnssd      8284
  54145   25026 zsh              8216
  23871   14494 nvim             8204
  22782    6462 nvim             8156
   1379       1 sshd             8096
2332309 2315094 sudo             8080
   1196       1 dbus-daemon      8076
   3047    2410 gvfs-afc-volume  8036
    868       1 systemd-timesyn  7968
   1841       1 pcscd            7960
   1391       1 gdm3             7892
  27280   25026 zsh              7784
   1446       1 systemd-oomd     7748
  15295    4818 zsh              7720
   2544    2410 gvfsd            7696
2331722     774 (udev-worker)    7648
2331686     774 (udev-worker)    7624
   1194       1 accounts-daemon  7580
2331720     774 (udev-worker)    7560
  20215    6075 nvim             7452
   2398       1 power-profiles-  7372
